Date_class,retweet_count,favorite_count,followers_count,predict_class_label
3,15,47,0.0364,2
0,0,12,0.136,4
3,220,0,0.435,1
1,119,0,1.43,4
4,23,66,0.136,1
4,11,13,0.136,2
0,36,121,1.43,2
2,87,0,0.435,4
0,5,20,6.82,4
4,21,0,0.0364,4
3,4,20,0.136,3
3,137,391,0.136,2
3,8,0,1.43,2
3,1,0,0.0364,4
2,64,564,6.82,4
0,74,0,0.136,4
3,3,0,1.43,1
4,6,28,0.136,2
3,0,1,0.0364,4
2,22,0,0.435,4
3,3608,9854,43,1
2,154,697,6.82,4
3,868,11777,43,2
0,2061,8650,43,2
3,0,1,0.0364,2
2,357,2504,43,2
4,0,0,0.0364,4
3,0,3,0.136,4
2,0,3,0.435,4
1,19,0,6.82,4
0,41,0,6.82,2
3,0,1,0.0364,4
3,145,1226,6.82,2
2,16,82,0.435,1
0,2160,0,43,4
3,14,0,0.136,3
2,15,0,6.82,3
0,2835,17878,43,2
0,0,1,0.136,3
0,211,0,0.0364,2
4,2778,4247,43,2
0,3,0,0.136,4
3,25,0,0.136,4
3,1434,0,0.435,3
0,59,0,0.0364,2
2,93,0,0.435,3
3,37,383,6.82,4
1,107,1052,6.82,4
0,0,14,0.0364,4
1,958,0,0.435,4
0,0,0,1.43,4
3,0,11,0.0364,2
4,478,816,43,2
1,195,1315,6.82,2
2,84,109,43,4
3,322,724,43,2
1,54,0,6.82,2
2,360,0,0.435,4
3,613,860,43,2
3,2,10,0.136,2
0,5,0,0.0364,2
3,10,0,0.136,4
2,69,640,6.82,4
2,94,857,6.82,4
4,0,2,0.0364,4
1,4,0,1.43,3
4,0,0,0.0364,4
0,0,0,0.0364,4
4,121,0,0.136,4
3,24,0,6.82,3
4,0,34,0.0364,4
4,6,6,0.136,1
0,91,0,0.435,2
0,6,0,0.136,2
2,26,0,0.435,2
3,46,0,1.43,1
0,1,17,0.136,4
3,0,1,0.0364,4
3,0,0,0.136,4
0,1674,3945,0.435,4
4,0,6,0.0364,4
1,18,189,1.43,4
3,74,0,0.435,1
2,77,0,0.435,2
0,34,321,6.82,4
3,152,0,1.43,4
3,3,14,0.136,3
2,13,0,1.43,3
0,3952,1273,43,1
4,476,1226,43,3
3,928,5272,6.82,4
2,7,0,0.435,1
2,0,0,1.43,3
0,1035,8519,43,2
0,18,26,0.136,4
3,106,0,0.435,4
3,14,0,0.136,4
2,24,0,6.82,4
1,71,403,6.82,4
0,20,0,6.82,2
3,168,0,0.435,4
4,0,4,0.0364,4
3,6,0,1.43,2
3,4,24,0.136,4
3,10,51,1.43,4
3,93,0,1.43,3
3,13,99,6.82,4
0,1583,9246,43,4
0,6,0,0.435,2
4,1,17,0.136,4
2,611,0,0.435,2
3,37,0,0.136,4
0,633,497,43,2
1,2966,5443,0.435,4
3,3933,5316,43,2
2,30,70,0.435,3
1,43,0,6.82,4
1,3,0,1.43,3
4,0,0,0.0364,4
0,3804,20371,43,2
4,1,0,0.0364,4
0,124,1670,6.82,2
4,0,0,0.0364,4
2,0,14,1.43,4
3,24,100,0.136,4
3,39,0,6.82,4
3,0,1,0.0364,2
0,118,0,1.43,2
1,238,2243,6.82,4
0,2,0,0.0364,2
0,4768,29280,43,3
3,11,35,0.136,3
0,12932,0,0.0364,2
3,0,0,0.0364,2
0,11109,0,0.0364,4
1,28,0,6.82,2
4,170,0,43,3
4,0,0,0.0364,4
2,32,0,6.82,3
2,2,29,1.43,4
0,1089,7317,6.82,4
3,0,1,0.0364,2
0,64,0,6.82,1
2,29,0,0.435,3
3,5,0,0.0364,2
3,119,0,0.435,1
3,0,1,0.0364,4
3,812,2405,43,2
4,5399,2219,43,2
0,32,299,6.82,4
0,37,391,6.82,2
3,1,0,0.0364,2
2,51,0,0.435,1
4,14995,102740,43,2
1,50,0,1.43,3
2,3662,0,1.43,2
0,346,626,43,2
4,3,9,1.43,1
1,208,0,0.435,4
3,2,0,1.43,3
4,3242,5621,43,4
3,0,5,0.0364,2
3,304,1180,43,2
1,16,61,1.43,3
3,581,3674,6.82,4
0,369,917,43,4
3,541,426,43,2
4,2,6,0.136,4
2,808,0,0.435,1
2,974,2127,0.435,4
0,161,0,0.435,1
3,20,0,0.435,1
0,50,0,0.435,1
2,542,3380,43,2
4,0,1,0.136,2
3,103,0,0.435,1
0,0,2,0.0364,1
3,10,0,0.435,4
3,11,0,6.82,4
0,5,21,0.136,3
0,4,38,0.0364,4
0,0,0,1.43,2
0,8,34,0.136,4
0,7,0,0.0364,2
3,3,3,0.136,3
3,165,0,0.435,1
3,0,3,6.82,2
3,0,1,0.136,2
3,1,8,1.43,2
3,11,36,0.136,3
4,0,1,0.0364,2
3,0,0,0.0364,4
4,918,561,43,2
3,10,0,0.435,4
3,160,2327,43,2
3,1110,8785,43,2
3,23,160,6.82,4
3,4,23,0.136,4
0,1406,12296,43,2
0,0,4,0.0364,4
3,2216,3062,43,2
3,5,0,0.0364,4
3,754,2458,0.435,2
3,1,41,1.43,4
3,346,0,0.435,2
0,568,946,43,2
3,34,17,0.136,3
0,292,3181,43,4
1,39,0,6.82,1
3,0,0,0.0364,2
4,2,0,0.136,4
2,98,0,0.435,1
3,17,0,0.435,3
0,2160,0,43,4
4,4,10,0.136,4
3,0,1,1.43,4
3,1,0,0.136,3
4,159,1557,43,4
3,29,0,1.43,2
1,45,222,1.43,3
0,603,0,43,2
0,0,6,0.0364,3
3,10,0,0.435,3
3,569,3473,43,4
4,85,704,0.136,4
0,184,0,0.435,4
0,7,0,1.43,4
0,32,0,0.435,3
3,0,2,0.136,4
1,11,61,0.435,2
2,5146,0,0.435,4
1,802,0,0.435,2
0,0,0,1.43,2
4,410,2280,43,1
4,34,0,6.82,1
0,50,0,6.82,1
4,0,1,0.0364,2
3,0,0,0.136,4
4,466,267,43,2
0,32,106,1.43,4
0,326,1070,43,3
1,2,0,1.43,4
4,46,0,0.0364,3
0,5,0,0.0364,4
3,4,0,0.435,3
4,24,0,6.82,3
4,48,0,0.0364,4
3,10,0,0.435,1
4,15,169,0.136,2
1,0,0,1.43,1
0,2,0,0.0364,2
0,139,0,43,4
0,321,0,0.0364,4
1,173,0,0.435,1
3,13,0,0.136,4
3,23,115,1.43,2
0,0,4,1.43,1
