date,retweet_count,favorite_count,followers_count,predict_class_label
2017-04-24 16:09:24,7065,48010,10,2
2017-04-24 08:06:26,6602,48946,10,2
2017-04-22 14:52:47,19104,83938,10,2
2017-04-21 11:36:48,2611,8587,10,4
2017-04-20 10:05:54,3868,0,10,2
2017-04-13 17:28:49,5462,35677,10,2
2017-04-13 13:29:48,1340,16019,10,3
2017-04-08 06:57:16,1932,20316,10,2
2017-04-07 11:06:44,1623,15834,10,2
2017-04-07 06:35:15,3495,34896,10,2
2017-04-06 12:29:08,3939,34897,10,2
2017-04-06 05:52:09,1157,10787,10,2
2017-04-05 07:44:47,2826,23155,10,2
2017-04-04 09:31:54,6220,50776,10,2
2017-04-03 14:26:38,2383,30451,10,2
2017-04-02 14:56:48,10194,58001,10,2
2017-04-02 06:38:44,3248,29422,10,1
2017-04-01 13:34:49,2470,30722,10,4
2017-04-01 05:47:02,383,2094,10,2
2017-04-01 05:35:17,289,2044,10,3
2017-04-01 05:34:31,283,2610,10,4
2017-04-01 05:32:49,207,1620,10,2
2017-03-31 08:19:00,2015,23036,10,2
2017-03-31 07:29:14,350,2995,10,4
2017-03-31 07:27:51,314,2136,10,4
2017-03-31 07:27:12,478,3879,10,4
2017-03-31 07:25:58,321,2324,10,2
2017-03-31 07:25:30,284,1988,10,2
2017-03-31 07:24:35,625,5402,10,2
2017-03-30 14:31:46,13768,72997,10,1
2017-03-30 09:07:19,1884,16696,10,4
2017-03-30 03:50:54,3192,23634,10,2
2017-03-30 03:50:29,3045,21758,10,2
2017-03-29 10:21:14,4296,41105,10,2
2017-03-28 15:58:39,1122,0,10,2
2017-03-28 10:14:00,12885,79279,10,2
2017-03-23 14:41:01,977,0,10,2
2017-03-21 09:23:50,4447,48925,10,2
2017-03-15 07:38:32,1706,18630,10,2
2017-03-13 06:21:51,4584,42995,10,2
2017-03-13 05:50:21,4174,32199,10,4
2017-03-12 09:37:30,2921,35264,10,3
2017-03-11 07:11:52,1683,20498,10,2
2017-03-10 09:17:09,2792,34768,10,2
2017-03-10 06:49:01,1200,12979,10,3
2017-03-09 11:59:10,1941,15214,10,2
2017-03-09 09:17:46,2044,16637,10,4
2017-03-09 06:54:15,1577,17447,10,4
2017-03-08 17:40:11,812,0,10,4
2017-03-08 17:40:01,380,2204,10,2
2017-03-08 06:18:51,3499,23258,10,2
